Drug Name,Generic Name,Manufacturer,Strength,Dosage Form,Quantity on Hand,Expiration Date,Lot Number,Price per Unit,Notes,Next Shipment
Panadol,Acetaminophen,GlaxoSmithKline,500 mg,Tablet,200,1/10/2025,LOT-079,$5.00 ,Pain reliever,28/12/2023
Aspirin,Aspirin,Bayer,81 mg,Tablet,300,9/30/2024,LOT-080,$3.00 ,"Pain reliever, blood thinner",28/12/2023
Advil,Ibuprofen,Pfizer,200 mg,Tablet,180,2/5/2025,LOT-081,$6.50 ,"Pain reliever, anti-inflammatory",28/12/2023
Tums,Calcium carbonate,GlaxoSmithKline,500 mg,Tablet,150,11/20/2024,LOT-082,$2.50 ,Antacid,28/12/2023
NyQuil,Various,Procter & Gamble,-,Liquid,90,7/10/2025,LOT-083,$7.00 ,Cold and flu medication,28/12/2023
Sudafed,Pseudoephedrine,Johnson & Johnson,30 mg,Tablet,120,10/31/2024,LOT-084,$5.75 ,Decongestant,28/12/2023
Benadryl,Diphenhydramine,Johnson & Johnson,25 mg,Capsule,100,3/15/2025,LOT-085,$4.25 ,Antihistamine,28/12/2023
Pepto-Bismol,Bismuth subsalicylate,Procter & Gamble,262 mg,Tablet,80,12/20/2024,LOT-086,$6.00 ,Digestive relief,28/12/2023
Imodium,Loperamide,Johnson & Johnson,2 mg,Capsule,60,4/1/2025,LOT-087,$5.50 ,Anti-diarrheal,28/12/2023
Robitussin,Guaifenesin,Reckitt Benckiser,100 mg,Liquid,70,7/15/2024,LOT-088,$7.25 ,Cough medicine,28/12/2023
Claritin,Loratadine,Bayer,10 mg,Tablet,100,1/30/2025,LOT-089,$4.75 ,Antihistamine,28/12/2023
Motrin,Ibuprofen,Johnson & Johnson,200 mg,Tablet,110,8/5/2024,LOT-090,$5.25 ,Pain reliever,28/12/2023
NyQuil,Various,Procter & Gamble,-,Liquid,80,2/15/2025,LOT-091,$7.00 ,Cold and flu medication,28/12/2023
Excedrin,Acetaminophen/Aspirin/Caffeine,GlaxoSmithKline,-,Tablet,90,10/20/2024,LOT-092,$6.75 ,Pain reliever,28/12/2023
DayQuil,Various,Procter & Gamble,-,Liquid,70,3/31/2025,LOT-093,$7.00 ,Cold and flu medication,28/12/2023
Tylenol PM,Acetaminophen/Diphenhydramine,Johnson & Johnson,-,Tablet,60,12/10/2024,LOT-094,$8.25 ,"Pain reliever, sleep aid",28/12/2023
Pepto-Bismol,Bismuth subsalicylate,Procter & Gamble,525 mg,Tablet,80,6/20/2025,LOT-095,$6.50 ,Digestive relief,28/12/2023
Mucinex,Guaifenesin,Reckitt Benckiser,1200 mg,Tablet,90,9/5/2024,LOT-096,$8.00 ,Expectorant,28/12/2023
Dimetapp,Various,Pfizer,-,Liquid,100,4/10/2025,LOT-097,$7.25 ,Cold and allergy medication,28/12/2023
Zyrtec,Cetirizine,Johnson & Johnson,10 mg,Tablet,120,7/25/2024,LOT-098,$5.50 ,Antihistamine,28/12/2023
NyQuil,Various,Procter & Gamble,-,Liquid,80,1/20/2025,LOT-099,$7.00 ,Cold and flu medication,28/12/2023
Advil Cold and Sinus,Ibuprofen/Pseudoephedrine,Pfizer,200/30 mg,Tablet,90,8/10/2024,LOT-100,$6.75 ,Cold and sinus relief,28/12/2023
Gas-X,Simethicone,GlaxoSmithKline,125 mg,Tablet,70,2/20/2025,LOT-101,$5.25 ,Anti-gas relief,28/12/2023
Dramamine,Dimenhydrinate,Pfizer,50 mg,Tablet,60,10/10/2024,LOT-102,$4.75 ,Motion sickness medication,28/12/2023
