,id,gender,age,company_name,intern_role,internship_duration,academic_gpa,number_of_internships_completed,number_of_certification,intern_technical_skills,programming_level,technical_skills_required,technical_interview_score,education,department,internship_success
10,16b463bf-7baa-408c-a7e8-a89c6a5361b9,female,21,CLIMDES,Machine Learning,3,3.5408754799096798,4,10,"['CSS', 'Python', 'HTML']",Intermediate,"['Python', 'SQL', 'Machine Learning']",250,student,Engineering,True
11,f06cbb91-9a27-48f9-99b5-da5a2783f0fa,male,25,CLIMDES,Machine Learning,12,2.657727949736734,2,0,"['PowerPoint', 'HTML', 'SQL']",Beginner,"['Python', 'SQL', 'Machine Learning']",163,student,Engineering,False
12,8318f13f-235c-481f-8428-d386043f47d0,female,22,CLIMDES,Frontend,12,3.7724402109634654,4,4,"['SQL', 'JavaScript', 'Python']",Intermediate,"['HTML', 'CSS', 'JavaScript']",236,student,Computer Science,True
13,105b5e3b-8c24-4365-8428-68cf7836c38f,male,25,CLIMDES,Frontend,12,2.2292121948773946,0,2,"['R', 'Excel', 'Python']",Intermediate,"['HTML', 'CSS', 'JavaScript']",193,student,Mathematics,False
14,a0260e19-f317-4e2d-a99a-c138e3fa0299,male,24,CLIMDES,Backend,12,2.2873834888707183,0,0,"['C++', 'SQL', 'CSS']",Beginner,"['Python', 'Java', 'SQL']",161,student,Engineering,False
15,db4aadbe-6a59-4230-a28d-db59988385b6,male,22,CLIMDES,Machine Learning,6,3.6320967316107526,5,4,"['SQL', 'Machine Learning', 'CSS']",Intermediate,"['Python', 'SQL', 'Machine Learning']",225,graduate,Mathematics,True
16,b85406d0-e70f-423f-9859-5ce03ece9d3c,female,25,CLIMDES,Frontend,6,3.581929991759247,5,10,"['HTML', 'CSS', 'Python']",Intermediate,"['HTML', 'CSS', 'JavaScript']",240,student,Mathematics,True
17,8a560007-58aa-4a5f-aa02-efa8016f1fa7,male,23,CLIMDES,Backend,3,2.1844029724643987,0,0,"['CSS', 'SQL', 'C']",Intermediate,"['Python', 'Java', 'SQL']",174,student,Statistics,False
18,8dd5737f-02a5-4e0b-8ee8-35a4aeb9dd78,female,23,CLIMDES,Frontend,3,3.7481620226596073,1,4,"['HTML', 'CSS', 'JavaScript']",Intermediate,"['HTML', 'CSS', 'JavaScript']",232,graduate,Computer Science,True
19,e74d5b75-be61-4dd6-b95f-6ea14e7399de,male,22,CLIMDES,Frontend,12,3.6939217015772403,4,7,"['CSS', 'JavaScript', 'SQL']",Intermediate,"['HTML', 'CSS', 'JavaScript']",226,student,Computer Science,True
20,6839d7d5-e6c9-429a-bfd8-eee1b51d8cb3,female,25,CLIMDES,Backend,3,2.979778111195764,2,0,"['SQL', 'C', 'C++']",Intermediate,"['Python', 'Java', 'SQL']",177,student,Engineering,False
21,539e4b22-1c5b-42d7-bb69-774a08737871,male,25,CLIMDES,Frontend,6,3.655347297023487,3,5,"['HTML', 'JavaScript', 'Python']",Intermediate,"['HTML', 'CSS', 'JavaScript']",238,graduate,Computer Science,True
22,6bf55f70-3792-4542-bc70-496295f6fd6d,female,23,CLIMDES,Backend,12,2.3238156983639824,1,2,"['SQL', 'C++', 'CSS']",Beginner,"['Python', 'Java', 'SQL']",177,student,Computer Science,False
23,73fb6ee3-a68a-4947-abf8-686fd6f129b6,male,25,CLIMDES,Machine Learning,6,2.9442801766272853,2,1,"['Pandas', 'SQL', 'Excel']",Beginner,"['Python', 'SQL', 'Machine Learning']",168,student,Computer Science,False
24,81e27354-fd45-4b37-aa32-25abf365532e,female,21,CLIMDES,Frontend,6,2.8863800839004092,1,0,"['Python', 'JavaScript', 'Excel']",Intermediate,"['HTML', 'CSS', 'JavaScript']",162,student,Computer Science,False
25,53b5140e-8e24-44b6-aeba-d886f4624778,female,25,CLIMDES,Backend,12,3.596373043283781,4,9,"['C++', 'Python', 'Java']",Intermediate,"['Python', 'Java', 'SQL']",244,student,Mathematics,True
26,e1ea5469-7c9b-4f2c-bc22-d3bd9afde187,female,21,CLIMDES,Frontend,3,3.5951414674821325,1,9,"['JavaScript', 'SQL', 'HTML']",Intermediate,"['HTML', 'CSS', 'JavaScript']",225,graduate,Mathematics,True
27,3381afd4-ff08-4420-9e64-2d019d8581ed,male,24,CLIMDES,Frontend,12,2.3679631045993945,0,1,"['Python', 'SQL', 'R']",Beginner,"['HTML', 'CSS', 'JavaScript']",157,student,Engineering,False
28,39b0bc9e-03b0-49c1-8fab-65c3ba2af161,female,25,CLIMDES,Frontend,3,3.7827358437350718,3,9,"['SQL', 'JavaScript', 'HTML']",Intermediate,"['HTML', 'CSS', 'JavaScript']",223,student,Mathematics,True
29,c8cd0c07-d077-4ae9-b16d-30b55602d898,male,24,CLIMDES,Machine Learning,6,2.5049015627751023,0,1,"['PowerPoint', 'SQL', 'Pandas']",Beginner,"['Python', 'SQL', 'Machine Learning']",191,graduate,Computer Science,False
30,0ed711ab-753f-4894-a633-6650333da940,female,22,CLIMDES,Machine Learning,12,2.3583569885305007,2,1,"['PowerPoint', 'Python', 'HTML']",Intermediate,"['Python', 'SQL', 'Machine Learning']",186,graduate,Computer Science,False
31,1723689d-428e-404c-be05-a808c4227393,male,22,CLIMDES,Frontend,3,2.7817645529985273,2,0,"['SQL', 'JavaScript', 'CSS']",Intermediate,"['HTML', 'CSS', 'JavaScript']",189,student,Engineering,False
32,b06f84f1-5309-492c-9fe3-66d660d8a2b1,male,25,CLIMDES,Backend,6,2.0086389504227817,1,1,"['Java', 'SQL', 'C']",Intermediate,"['Python', 'Java', 'SQL']",186,student,Mathematics,False
33,27466880-7bd3-4604-839e-a295e5d3ba8c,female,21,CLIMDES,Backend,12,2.9544723205701007,2,2,"['Java', 'CSS', 'C']",Beginner,"['Python', 'Java', 'SQL']",178,student,Mathematics,False
34,de852ee5-b36a-46b4-9f73-3171ce78ce3c,female,24,CLIMDES,Backend,12,2.7399922839387667,0,1,"['SQL', 'CSS', 'Java']",Beginner,"['Python', 'Java', 'SQL']",162,graduate,Engineering,False
35,9ecd429e-fc7f-4b7d-a8f2-83d910fade60,female,25,CLIMDES,Frontend,6,3.714104463841116,1,5,"['JavaScript', 'SQL', 'HTML']",Intermediate,"['HTML', 'CSS', 'JavaScript']",246,student,Mathematics,True
36,3fabc5aa-0fe9-4de8-8819-3227672d528f,male,21,CLIMDES,Frontend,3,3.884758883609829,4,8,"['Python', 'SQL', 'CSS']",Intermediate,"['HTML', 'CSS', 'JavaScript']",230,graduate,Computer Science,True
37,83e49cf7-00f4-4785-8391-2bf422759b19,female,25,CLIMDES,Machine Learning,6,2.8302513057611107,2,1,"['SQL', 'PowerPoint', 'HTML']",Intermediate,"['Python', 'SQL', 'Machine Learning']",162,graduate,Mathematics,False
38,a3fad8e1-f729-47d1-8975-a0c8f3f1479d,female,22,CLIMDES,Backend,12,2.4667505635968228,0,1,"['C++', 'C', 'CSS']",Intermediate,"['Python', 'Java', 'SQL']",180,graduate,Computer Science,False
39,5ef5b6eb-f899-47f3-adbd-09329f6b0f27,male,24,CLIMDES,Backend,6,2.6118081715196,1,1,"['CSS', 'SQL', 'C++']",Beginner,"['Python', 'Java', 'SQL']",169,graduate,Mathematics,False
40,1b0e8ac0-769e-418e-825c-6ff880989c63,male,23,CLIMDES,Frontend,3,2.359610400803035,1,1,"['Excel', 'CSS', 'R']",Beginner,"['HTML', 'CSS', 'JavaScript']",163,student,Engineering,False
41,104017c5-3a54-4ad6-924a-ee0fa65a8e76,male,21,CLIMDES,Machine Learning,3,2.2436824369071973,0,2,"['Pandas', 'PowerPoint', 'HTML']",Beginner,"['Python', 'SQL', 'Machine Learning']",157,graduate,Statistics,False
42,1708bb82-e64b-4485-bc56-4ef384ea947c,male,21,CLIMDES,Machine Learning,6,3.894599351100883,5,7,"['Python', 'HTML', 'SQL']",Intermediate,"['Python', 'SQL', 'Machine Learning']",246,student,Computer Science,True
43,90046cb1-3650-4cb0-90bd-e7df3475b8d2,female,21,CLIMDES,Backend,3,2.3443387669398192,0,0,"['C', 'Java', 'CSS']",Intermediate,"['Python', 'Java', 'SQL']",151,graduate,Statistics,False
44,2b00375f-ada2-4242-bb13-fda91d79c7a9,male,24,CLIMDES,Backend,12,2.299614744172545,1,0,"['CSS', 'C++', 'C']",Intermediate,"['Python', 'Java', 'SQL']",156,student,Engineering,False
45,2bc309a1-14e1-4f26-be47-30edec5c73bb,male,25,CLIMDES,Machine Learning,6,2.148555645953484,1,2,"['Pandas', 'Excel', 'HTML']",Beginner,"['Python', 'SQL', 'Machine Learning']",186,graduate,Mathematics,False
46,caadf934-1661-444e-8690-5a24e37d75f0,female,21,CLIMDES,Backend,6,3.802464732798624,4,6,"['Java', 'SQL', 'C']",Intermediate,"['Python', 'Java', 'SQL']",229,student,Engineering,True
47,98169959-6558-425d-acee-cf2abadab686,male,23,CLIMDES,Backend,6,3.819993874567251,2,7,"['Java', 'C', 'Python']",Intermediate,"['Python', 'Java', 'SQL']",220,student,Statistics,True
48,0979e2bf-28aa-4fbe-a016-10f834874612,male,23,CLIMDES,Frontend,12,2.0621320444414764,2,2,"['CSS', 'JavaScript', 'Python']",Beginner,"['HTML', 'CSS', 'JavaScript']",151,graduate,Statistics,False
49,ad20eda4-66b0-4811-82af-ca27d56cdfa3,male,25,CLIMDES,Frontend,6,2.52334576536756,1,0,"['CSS', 'SQL', 'R']",Intermediate,"['HTML', 'CSS', 'JavaScript']",163,student,Statistics,False
50,f6c12808-973c-43a5-adf9-5a3c60496b12,female,25,CLIMDES,Frontend,6,3.9090558117000596,1,10,"['JavaScript', 'Python', 'HTML']",Intermediate,"['HTML', 'CSS', 'JavaScript']",221,student,Statistics,True
51,e3b83a8b-7bc2-43f4-86ef-0ce421d5b821,male,23,CLIMDES,Frontend,3,3.783833734912366,2,8,"['JavaScript', 'SQL', 'HTML']",Intermediate,"['HTML', 'CSS', 'JavaScript']",222,student,Statistics,True
52,95156b19-fe5e-40c9-b1cf-fc301f697deb,male,25,CLIMDES,Machine Learning,12,3.6409471710814594,5,10,"['SQL', 'Machine Learning', 'CSS']",Intermediate,"['Python', 'SQL', 'Machine Learning']",236,student,Mathematics,True
53,ac85e511-2dfd-4274-8333-c1676fd5c1c5,male,24,CLIMDES,Backend,6,2.6678264296041134,2,0,"['CSS', 'Java', 'SQL']",Beginner,"['Python', 'Java', 'SQL']",195,student,Statistics,False
54,8f73c3ac-0bc7-4fbc-87b9-0a987ddcc21c,male,24,CLIMDES,Backend,3,2.7646850307644373,0,2,"['SQL', 'C', 'C++']",Intermediate,"['Python', 'Java', 'SQL']",169,graduate,Computer Science,False
55,1663ecd7-3e56-4c89-83d9-a5bc22eab0f2,male,25,CLIMDES,Frontend,12,3.865966029803818,2,7,"['SQL', 'JavaScript', 'HTML']",Intermediate,"['HTML', 'CSS', 'JavaScript']",238,student,Computer Science,True
56,d1b07794-2b34-4054-a3a8-becd0577c078,male,25,CLIMDES,Frontend,6,3.6282567685999854,3,6,"['Python', 'SQL', 'HTML']",Intermediate,"['HTML', 'CSS', 'JavaScript']",245,student,Engineering,True
57,409f90ef-d1f0-440f-bf09-b591f6c646bf,female,23,CLIMDES,Backend,12,3.8877728101933458,3,9,"['Java', 'C', 'Python']",Intermediate,"['Python', 'Java', 'SQL']",222,graduate,Statistics,True
58,adb22c01-4623-454f-a8c1-aeafc1429602,male,23,CLIMDES,Backend,3,3.806973121871181,2,3,"['SQL', 'Python', 'C']",Intermediate,"['Python', 'Java', 'SQL']",236,student,Mathematics,True
59,41f3d12d-a072-47b4-9b4d-73f1c5afff5c,male,23,CLIMDES,Machine Learning,3,2.837782114818721,1,1,"['Pandas', 'HTML', 'PowerPoint']",Intermediate,"['Python', 'SQL', 'Machine Learning']",188,graduate,Mathematics,False
60,aadf9720-37ab-442a-b165-3dba234be743,female,24,CLIMDES,Backend,12,3.9716951713538022,4,3,"['C++', 'Java', 'C']",Intermediate,"['Python', 'Java', 'SQL']",234,graduate,Engineering,True
61,3d2a3780-74c7-4047-9c31-7e05cd000e85,female,21,CLIMDES,Frontend,6,2.4838149194611745,0,0,"['R', 'CSS', 'SQL']",Intermediate,"['HTML', 'CSS', 'JavaScript']",163,graduate,Mathematics,False
62,c51e99be-9f11-4b29-97d9-9324d1c4f313,female,24,CLIMDES,Frontend,6,2.4955322094468064,2,1,"['SQL', 'R', 'JavaScript']",Intermediate,"['HTML', 'CSS', 'JavaScript']",192,student,Computer Science,False
63,9dc04bd4-7f5e-4e84-b1d9-522a9da38904,female,21,CLIMDES,Frontend,12,3.693902147570743,4,8,"['CSS', 'HTML', 'Python']",Intermediate,"['HTML', 'CSS', 'JavaScript']",250,graduate,Computer Science,True
64,3571de60-be55-4154-86b2-6a4cc1cfff3a,male,24,CLIMDES,Frontend,6,2.4299189555894087,2,0,"['R', 'SQL', 'CSS']",Intermediate,"['HTML', 'CSS', 'JavaScript']",166,student,Mathematics,False
65,166644cd-a74d-430a-9042-9819e20e0449,female,24,CLIMDES,Machine Learning,3,2.8917919081028356,0,0,"['Python', 'SQL', 'PowerPoint']",Beginner,"['Python', 'SQL', 'Machine Learning']",176,student,Statistics,False
66,fd8903d4-7501-47bc-8b3d-32aed996184a,male,23,CLIMDES,Backend,12,2.1006442508252845,1,2,"['SQL', 'Java', 'CSS']",Beginner,"['Python', 'Java', 'SQL']",160,student,Engineering,False
67,15c8496a-c454-4d25-bee1-13b4313d0fee,male,22,CLIMDES,Machine Learning,6,2.2064287121569075,1,1,"['HTML', 'Excel', 'Pandas']",Intermediate,"['Python', 'SQL', 'Machine Learning']",152,graduate,Mathematics,False
68,9ce3a7d7-cd4b-48c4-b5f5-402d31719dc2,male,25,CLIMDES,Frontend,3,3.667101717519109,4,5,"['Python', 'HTML', 'SQL']",Intermediate,"['HTML', 'CSS', 'JavaScript']",236,graduate,Computer Science,True
69,5937ba2f-aa8a-47d9-b4be-041180edd70a,male,24,CLIMDES,Frontend,12,3.663076876937629,1,7,"['SQL', 'Python', 'CSS']",Intermediate,"['HTML', 'CSS', 'JavaScript']",232,graduate,Computer Science,True
70,af44436a-af5e-45be-a32f-1c003bbf3082,female,21,CLIMDES,Frontend,12,2.1740446564390288,1,2,"['Excel', 'R', 'CSS']",Intermediate,"['HTML', 'CSS', 'JavaScript']",162,graduate,Statistics,False
71,aef9741e-3bfe-48eb-ada7-247684e997f4,male,25,CLIMDES,Machine Learning,12,2.4861869639341783,1,0,"['Pandas', 'HTML', 'PowerPoint']",Beginner,"['Python', 'SQL', 'Machine Learning']",160,student,Computer Science,False
72,19627259-be22-44b2-b198-b8b452717463,male,25,CLIMDES,Machine Learning,6,2.0938380175688955,0,0,"['SQL', 'Excel', 'HTML']",Beginner,"['Python', 'SQL', 'Machine Learning']",189,student,Computer Science,False
73,63351bc2-2cc9-41c9-b548-9ba632599c4e,female,23,CLIMDES,Backend,3,2.2927929598541685,0,1,"['Java', 'CSS', 'C++']",Beginner,"['Python', 'Java', 'SQL']",186,student,Engineering,False
74,ff116e10-4c2a-47a2-9e21-a917131c0e4e,male,22,CLIMDES,Backend,6,2.3791201125454644,0,2,"['Java', 'C++', 'SQL']",Beginner,"['Python', 'Java', 'SQL']",184,student,Mathematics,False
75,79b42ebf-3fe0-47cc-909e-f6e14f11e9a5,male,22,CLIMDES,Frontend,6,3.9911976636602224,3,6,"['HTML', 'SQL', 'CSS']",Intermediate,"['HTML', 'CSS', 'JavaScript']",244,graduate,Mathematics,True
76,ef5b8386-596c-445c-a54c-01c849b2c5d0,male,22,CLIMDES,Machine Learning,3,3.8233462519468455,1,8,"['HTML', 'Machine Learning', 'CSS']",Intermediate,"['Python', 'SQL', 'Machine Learning']",246,student,Engineering,True
77,951b99d4-5f7f-4b8f-b8ce-6441b212a44a,female,21,CLIMDES,Backend,3,2.8246613841336705,2,1,"['C', 'C++', 'SQL']",Intermediate,"['Python', 'Java', 'SQL']",163,graduate,Computer Science,False
78,6bbf82e6-69c5-4bb7-bfbf-6a8c0d83e852,female,24,CLIMDES,Frontend,12,2.195675922862402,2,2,"['Excel', 'CSS', 'SQL']",Intermediate,"['HTML', 'CSS', 'JavaScript']",150,student,Engineering,False
79,36f3cae5-73c0-40aa-8b8f-04b1a4f71c78,male,22,CLIMDES,Frontend,6,3.8826246888059717,1,9,"['HTML', 'SQL', 'JavaScript']",Intermediate,"['HTML', 'CSS', 'JavaScript']",233,graduate,Computer Science,True
80,bfe5bd84-b977-4715-93f5-33c12347eb96,male,23,CLIMDES,Backend,6,2.351240901128706,1,2,"['SQL', 'CSS', 'C++']",Intermediate,"['Python', 'Java', 'SQL']",177,student,Mathematics,False
81,0518a0d3-38b3-4afe-8716-309e9852f33c,male,21,CLIMDES,Frontend,6,3.621272014489852,3,4,"['CSS', 'JavaScript', 'Python']",Intermediate,"['HTML', 'CSS', 'JavaScript']",230,graduate,Engineering,True
82,cc5351bb-2945-43e5-bbbc-5ac8f3737ef1,female,24,CLIMDES,Backend,12,2.7751721954765043,1,0,"['C++', 'SQL', 'CSS']",Intermediate,"['Python', 'Java', 'SQL']",157,graduate,Computer Science,False
83,2a721207-8d58-4a3a-ab39-2bff35a86aaf,female,21,CLIMDES,Machine Learning,6,3.8298589130448386,1,9,"['Python', 'SQL', 'CSS']",Intermediate,"['Python', 'SQL', 'Machine Learning']",227,graduate,Computer Science,True
84,4b6d7060-abee-4cdd-86a3-c0d46f4bdf35,male,25,CLIMDES,Frontend,6,3.6706152534708205,5,6,"['CSS', 'JavaScript', 'SQL']",Intermediate,"['HTML', 'CSS', 'JavaScript']",225,graduate,Statistics,True
85,14cc33d0-a789-42b1-af3b-0711d5e858e5,male,23,CLIMDES,Machine Learning,12,2.20974670913209,0,2,"['PowerPoint', 'SQL', 'HTML']",Beginner,"['Python', 'SQL', 'Machine Learning']",196,student,Statistics,False
86,d1f78335-20d0-47d9-8c1a-70785aec293f,female,21,CLIMDES,Frontend,12,3.8313556296987596,4,3,"['CSS', 'Python', 'SQL']",Intermediate,"['HTML', 'CSS', 'JavaScript']",247,graduate,Computer Science,True
87,1df990e7-94c2-4a12-881d-e493e0ea1e74,female,21,CLIMDES,Backend,3,2.4597405905357523,0,1,"['Java', 'CSS', 'C++']",Intermediate,"['Python', 'Java', 'SQL']",190,student,Statistics,False
88,4589c6c2-1249-4482-8ae3-fab8d2fa40dc,female,23,CLIMDES,Frontend,6,3.5596098417464477,2,3,"['HTML', 'Python', 'CSS']",Intermediate,"['HTML', 'CSS', 'JavaScript']",221,graduate,Mathematics,True
89,1dcb8a32-c7c9-44f3-8810-55577eb29c60,female,21,CLIMDES,Backend,12,3.5401330140661105,2,5,"['Python', 'C++', 'Java']",Intermediate,"['Python', 'Java', 'SQL']",221,student,Engineering,True
90,3a0950ee-9981-4c19-bae2-0b55e240f09a,female,25,CLIMDES,Machine Learning,6,3.783400809337614,1,7,"['HTML', 'SQL', 'CSS']",Intermediate,"['Python', 'SQL', 'Machine Learning']",245,student,Engineering,True
91,96f1c2b8-0485-426f-aefb-5d457cb69502,male,23,CLIMDES,Machine Learning,12,2.0426690019583984,2,0,"['Pandas', 'SQL', 'PowerPoint']",Intermediate,"['Python', 'SQL', 'Machine Learning']",160,graduate,Engineering,False
92,c6042475-62be-4bd4-8d8f-b3c2b22e646c,male,23,CLIMDES,Frontend,12,3.7710320003471556,5,9,"['Python', 'CSS', 'SQL']",Intermediate,"['HTML', 'CSS', 'JavaScript']",248,student,Engineering,True
93,9f89bd98-30e8-4a93-996d-a9b0a3e3ec83,female,25,CLIMDES,Backend,12,3.5479686654278484,4,9,"['C++', 'Java', 'SQL']",Intermediate,"['Python', 'Java', 'SQL']",242,graduate,Mathematics,True
94,c4c3dd7f-7040-4fb1-8f01-0842e7d650de,female,25,CLIMDES,Machine Learning,3,2.0144223863155046,0,1,"['PowerPoint', 'Excel', 'Python']",Intermediate,"['Python', 'SQL', 'Machine Learning']",193,student,Statistics,False
95,6d309113-37d4-41c0-95c5-718f327ce5fd,female,21,CLIMDES,Backend,12,3.8052845582535673,3,6,"['Java', 'C++', 'C']",Intermediate,"['Python', 'Java', 'SQL']",250,student,Engineering,True
96,54c819aa-bebe-4ab2-a609-87e33dd97854,male,24,CLIMDES,Backend,3,2.4546207363272585,0,2,"['C', 'C++', 'Java']",Intermediate,"['Python', 'Java', 'SQL']",151,graduate,Engineering,False
97,bbcd2c44-e45c-48d8-bfee-e23cfcba6643,female,21,CLIMDES,Frontend,6,2.8362297230316447,2,0,"['JavaScript', 'Python', 'R']",Beginner,"['HTML', 'CSS', 'JavaScript']",172,student,Statistics,False
98,6fa9fb45-28fe-447b-b3f4-67f20ff02335,female,21,CLIMDES,Machine Learning,12,2.0961364442806296,1,0,"['HTML', 'SQL', 'Python']",Beginner,"['Python', 'SQL', 'Machine Learning']",152,graduate,Computer Science,False
99,11539ae3-6e60-4560-93e5-03ded4c67b78,female,23,CLIMDES,Frontend,3,2.7606935585118664,2,0,"['CSS', 'JavaScript', 'Excel']",Beginner,"['HTML', 'CSS', 'JavaScript']",172,graduate,Mathematics,False
100,49c31954-5ce1-4056-aab5-3d4a6eaadb94,male,23,CLIMDES,Backend,12,2.0016150717536028,1,0,"['Java', 'C', 'SQL']",Intermediate,"['Python', 'Java', 'SQL']",181,graduate,Engineering,False
101,5c45d6fe-9c20-4578-8342-fbed0df7adfe,male,22,CLIMDES,Machine Learning,3,2.0733847554258222,2,2,"['SQL', 'Excel', 'Pandas']",Intermediate,"['Python', 'SQL', 'Machine Learning']",174,graduate,Computer Science,False
102,d9ff44e5-65e5-4021-b31e-d0e3fa7e316c,male,23,CLIMDES,Frontend,12,2.9137370073615285,0,0,"['SQL', 'Python', 'Excel']",Beginner,"['HTML', 'CSS', 'JavaScript']",188,student,Statistics,False
103,1af10443-9366-4b06-a7f1-98ed33cce8e8,female,24,CLIMDES,Machine Learning,12,3.953927784390197,4,3,"['Machine Learning', 'CSS', 'SQL']",Intermediate,"['Python', 'SQL', 'Machine Learning']",241,student,Computer Science,True
104,773c161d-ef00-4a08-ae68-ff7b908c23dc,female,22,CLIMDES,Machine Learning,3,2.2579816281432423,1,0,"['Python', 'Pandas', 'SQL']",Intermediate,"['Python', 'SQL', 'Machine Learning']",177,student,Mathematics,False
105,56bdeac0-a8ba-4e69-a6e7-a671e974a648,female,23,CLIMDES,Backend,3,2.861438614233621,0,0,"['SQL', 'C++', 'C']",Beginner,"['Python', 'Java', 'SQL']",153,graduate,Engineering,False
106,3a1e706f-f4e5-4a01-b30d-b16f86d5a9dc,male,25,CLIMDES,Frontend,3,3.911735876554175,2,5,"['CSS', 'JavaScript', 'HTML']",Intermediate,"['HTML', 'CSS', 'JavaScript']",240,student,Computer Science,True
107,647d6c73-228e-4c1f-92eb-7984582edbe5,female,24,CLIMDES,Machine Learning,12,2.732843959286196,0,0,"['Python', 'Excel', 'PowerPoint']",Intermediate,"['Python', 'SQL', 'Machine Learning']",153,graduate,Mathematics,False
108,d4d091da-ade3-4dc0-abd2-80615976162f,female,25,CLIMDES,Frontend,3,2.1952980454013225,2,1,"['CSS', 'R', 'JavaScript']",Intermediate,"['HTML', 'CSS', 'JavaScript']",193,graduate,Mathematics,False
109,5240032c-084a-4acb-8767-8ae334f85e88,female,22,CLIMDES,Frontend,12,2.6003625810101463,2,2,"['SQL', 'CSS', 'R']",Intermediate,"['HTML', 'CSS', 'JavaScript']",157,graduate,Engineering,False
110,bf253fbb-82b3-48e2-b194-d5d43eb69a12,male,23,CLIMDES,Backend,3,2.0538729929982114,0,2,"['C', 'Java', 'CSS']",Beginner,"['Python', 'Java', 'SQL']",175,graduate,Engineering,False
111,81fac3c5-8f98-4ff5-8807-1687be2e68e8,female,25,CLIMDES,Frontend,3,3.9337288492957048,2,4,"['HTML', 'Python', 'JavaScript']",Intermediate,"['HTML', 'CSS', 'JavaScript']",244,student,Statistics,True
112,d713933a-f8f4-44ce-8d18-d90e6fb2f1d8,male,25,CLIMDES,Frontend,12,3.9078964648074344,3,7,"['HTML', 'CSS', 'JavaScript']",Intermediate,"['HTML', 'CSS', 'JavaScript']",246,student,Computer Science,True
113,d0a3c1f4-9454-41a0-898f-e66961a1b28a,male,21,CLIMDES,Backend,12,2.346225269844556,2,1,"['Java', 'SQL', 'C']",Intermediate,"['Python', 'Java', 'SQL']",194,student,Mathematics,False
114,b9f018f7-9813-496e-aa28-b2daf7c98de9,male,21,CLIMDES,Machine Learning,3,3.641204430489198,3,9,"['Python', 'SQL', 'Machine Learning']",Intermediate,"['Python', 'SQL', 'Machine Learning']",244,student,Computer Science,True
115,975925ed-dfa7-4d4a-a603-1805b25285dc,female,22,CLIMDES,Machine Learning,6,2.377222785778404,1,0,"['HTML', 'Pandas', 'Excel']",Beginner,"['Python', 'SQL', 'Machine Learning']",160,graduate,Statistics,False
116,3491c9fc-4018-4fa7-b92d-b271832fdc29,female,25,CLIMDES,Machine Learning,3,3.9335973168598635,3,7,"['Machine Learning', 'CSS', 'HTML']",Intermediate,"['Python', 'SQL', 'Machine Learning']",225,student,Statistics,True
117,aaed9b34-2cdc-4928-9b3b-eb828ac4f1bf,female,24,CLIMDES,Backend,12,3.806656141061987,1,9,"['Python', 'Java', 'SQL']",Intermediate,"['Python', 'Java', 'SQL']",244,graduate,Statistics,True
